KEYWORD,TRAFFIC,DIFFICULTY,SCORE,RANKED
monument,0.43,0.51,45.902069670113995,monuments game
blackhole,0.44000000000000006,0.62,40.89009660052175,-
altos,0.36,0.55,40.24922359499622,-
rocket,0.47000000000000003,0.67,39.382737335030434,spacex rocket
ski,0.38,0.6,38.98717737923585,-
apollo,0.5,0.7,38.729833462074176,Apollo's adventure
dust,0.41,0.67,36.78314831549904,-
fly,0.4,0.6900000000000001,35.21363372331802,-
frontier,0.49000000000000005,0.76,34.292856398964496,space frontier
adventure,0.47000000000000003,0.75,34.27827300200522,altos adventure
journey,0.47000000000000003,0.77,32.87856444554719,space journey
slope,0.43,0.79,30.049958402633436,185
alto,0.5,0.8300000000000001,29.1547594742265,altos odyssey
spacecraft,0.19,0.76,21.354156504062622,119