KEYWORD,TRAFFIC,DIFFICULTY,SCORE
centerpoint,0.45,0.37,53.24471804789654
momo,0.51,0.47000000000000003,51.99038372622383
police,0.52,0.5599999999999999,47.83304297240561
blackhole,0.44000000000000006,0.49000000000000005,47.37087712930805
airplay,0.5700000000000001,0.61,47.148700936505136
battleship,0.58,0.65,45.05552130427524
peggle,0.45,0.55,45.0
launcher,0.33999999999999997,0.41,44.788391353117376
bridge,0.44000000000000006,0.55,44.49719092257398
pomodoro,0.47000000000000003,0.58,44.42971978304613
luna,0.49000000000000005,0.6,44.271887242357316
vr,0.5700000000000001,0.6599999999999999,44.022721406110286
max,0.49000000000000005,0.61,43.71498598878879
ark,0.63,0.7,43.47413023856832
piano,0.7,0.73,43.47413023856832
ark,0.63,0.7,43.47413023856832
spark,0.53,0.65,43.06971093471606
endless,0.4,0.54,42.89522117905443
jet,0.48,0.62,42.708313008125245
scratch,0.49000000000000005,0.63,42.579337712087536
earth,0.47000000000000003,0.62,42.26109321823088
psych,0.71,0.75,42.13074886588179
stickman,0.5700000000000001,0.6900000000000001,42.035699113967404
sonic,0.73,0.76,41.8568990729127
space,0.51,0.6599999999999999,41.64132562731403
war,0.55,0.6900000000000001,41.291645644125154
evolution,0.45999999999999996,0.63,41.255302689472536
chapters,0.58,0.71,41.01219330881976
offroad,0.43,0.61,40.951190458886536
offroad,0.43,0.61,40.951190458886536
skate,0.54,0.6900000000000001,40.91454509095756
ben,0.36,0.54,40.69397989875161
sandbox,0.6,0.73,40.24922359499622
vector,0.5,0.6799999999999999,40.00000000000001
studio,0.5,0.6799999999999999,40.00000000000001
astrology,0.55,0.71,39.937451095431726
knot,0.45,0.65,39.68626966596886
mars,0.32999999999999996,0.53,39.382737335030434
starcraft,0.36,0.5700000000000001,39.344631145812
empire,0.45,0.6599999999999999,39.1152144312159
water,0.51,0.7,39.1152144312159
please,0.38,0.6,38.98717737923585
raft,0.5599999999999999,0.73,38.88444419044716
squishy,0.6,0.75,38.72983346207417
halo,0.51,0.71,38.45776904605883
snow,0.63,0.77,38.06573262134856
infected,0.38,0.62,38.0
aa,0.53,0.73,37.82856063875548
simulator,0.55,0.74,37.81534080237808
watch,0.5700000000000001,0.75,37.74917217635375
legend,0.47000000000000003,0.7,37.54996671103718
rocket,0.47000000000000003,0.7,37.54996671103718
legend,0.47000000000000003,0.7,37.54996671103718
starship,0.37,0.62,37.49666651850534
tesla,0.52,0.73,37.46998799039039
apollo,0.5,0.72,37.41657386773942
construction,0.4,0.65,37.416573867739416
blizzard,0.45,0.6900000000000001,37.34969879396619
ff,0.45,0.6900000000000001,37.34969879396619
multiplayer,0.51,0.73,37.10795063055895
moon,0.43,0.6799999999999999,37.09447398198282
explorer,0.43,0.6799999999999999,37.09447398198282
horror,0.49000000000000005,0.72,37.04051835490427
fallout,0.49000000000000005,0.72,37.04051835490427
gg,0.38,0.64,36.98648401781386
17,0.36,0.62,36.98648401781386
gg,0.38,0.64,36.98648401781386
17,0.36,0.62,36.98648401781386
ups,0.62,0.78,36.932370625238775
sun,0.33999999999999997,0.6,36.87817782917155
planet,0.41,0.67,36.78314831549904
black,0.45,0.7,36.74234614174768
made,0.42000000000000004,0.6799999999999999,36.66060555964673
funny,0.43,0.6900000000000001,36.51027252705737
tone,0.35,0.62,36.46916505762094
tone,0.35,0.62,36.46916505762094
survival,0.52,0.75,36.05551275463989
missile,0.22000000000000003,0.41,36.02776706930364
missile,0.22000000000000003,0.41,36.02776706930364
universe,0.35,0.63,35.98610843089316
rfs,0.39,0.67,35.874782229304195
driving,0.49000000000000005,0.74,35.6931365951495
driving,0.49000000000000005,0.74,35.6931365951495
mining,0.36,0.65,35.49647869859769
arc,0.38,0.67,35.41186241925154
robot,0.5,0.75,35.35533905932738
fly,0.4,0.6900000000000001,35.21363372331802
pubg,0.82,0.85,35.07135583350036
frontier,0.49000000000000005,0.75,35.0
nintendo,0.6799999999999999,0.82,34.9857113690718
mmo,0.47000000000000003,0.74,34.957116585897076
inside,0.5,0.76,34.64101615137755
glider,0.25,0.52,34.64101615137755
falcon,0.31,0.62,34.32200460346103
live,0.5599999999999999,0.79,34.29285639896449
adventure,0.47000000000000003,0.75,34.27827300200522
battlefront,0.32999999999999996,0.65,33.98529093593285
dash,0.48,0.76,33.94112549695428
physics,0.41,0.72,33.88214869219483
science,0.27999999999999997,0.5900000000000001,33.882148692194825
orbit,0.38,0.7,33.76388603226827
colony,0.27,0.58,33.67491648096548
family,0.49000000000000005,0.77,33.57082066318904
pluto,0.49000000000000005,0.77,33.57082066318904
rpg,0.5900000000000001,0.8099999999999999,33.48133808556642
odyssey,0.41,0.73,33.27160951922826
build,0.48,0.77,33.22649545167229
crash,0.5,0.78,33.166247903553995
softball,0.33999999999999997,0.6799999999999999,32.984845004941285
maps,0.64,0.8300000000000001,32.98484500494128
zombie,0.6,0.82,32.86335345030997
sky,0.6,0.82,32.86335345030997
drawing,0.6,0.82,32.86335345030997
mine,0.45,0.76,32.863353450309965
journey,0.49000000000000005,0.78,32.83291031876401
create,0.43,0.75,32.78719262151
galaxy,0.43,0.75,32.78719262151
mudding,0.27999999999999997,0.62,32.61901286060018
skyview,0.5599999999999999,0.8099999999999999,32.61901286060018
draw,0.5900000000000001,0.82,32.58834147360065
puzzle,0.62,0.8300000000000001,32.465366161495844
simcity,0.5,0.79,32.4037034920393
astro,0.36,0.71,32.31098884280703
mario,0.65,0.8400000000000001,32.2490309931942
pocket,0.52,0.8,32.2490309931942
stargazer,0.4,0.74,32.2490309931942
idle,0.61,0.8300000000000001,32.20248437620923
sup,0.45,0.77,32.17141588429082
hunter,0.43,0.76,32.12475680841802
real,0.38,0.73,32.03123475609394
surf,0.41,0.75,32.01562118716424
eyes,0.42000000000000004,0.76,31.74901573277509
gundam,0.42000000000000004,0.76,31.74901573277509
gundam,0.42000000000000004,0.76,31.74901573277509
farm,0.5599999999999999,0.82,31.74901573277509
gamefly,0.42000000000000004,0.76,31.74901573277509
nasa,0.45,0.78,31.464265445104544
ellen,0.45,0.78,31.464265445104544
fast,0.45,0.78,31.464265445104544
fast,0.45,0.78,31.464265445104544
astronaut,0.22999999999999998,0.5700000000000001,31.44837038703277
bat,0.38,0.74,31.432467291003423
tap,0.47000000000000003,0.79,31.416556144810016
trek,0.29,0.6599999999999999,31.400636936215164
dragon,0.58,0.8300000000000001,31.400636936215154
dragon,0.58,0.8300000000000001,31.400636936215154
fsx,0.21000000000000002,0.54,31.08054053584011
saturn,0.22999999999999998,0.58,31.080540535840107
fight,0.45999999999999996,0.79,31.0805405358401
charlie,0.32,0.7,30.98386676965934
ar,0.53,0.82,30.886890422961006
durango,0.33999999999999997,0.72,30.854497241083024
alto,0.5,0.8099999999999999,30.822070014844886
pixel,0.5,0.8099999999999999,30.822070014844886
corgi,0.27,0.65,30.740852297878796
character,0.35,0.73,30.740852297878796
battlefield,0.41,0.77,30.708305065568176
fighting,0.47000000000000003,0.8,30.65941943351178
minimal,0.16999999999999998,0.45,30.577769702841305
rover,0.49000000000000005,0.8099999999999999,30.512292604784726
rover,0.49000000000000005,0.8099999999999999,30.512292604784726
dummy,0.32,0.71,30.46309242345564
exploration,0.32,0.71,30.46309242345564
hovercraft,0.37,0.75,30.413812651491096
sign,0.37,0.75,30.413812651491096
fire,0.44000000000000006,0.79,30.397368307141328
speed,0.45999999999999996,0.8,30.3315017762062
paint,0.61,0.85,30.24896692450835
drums,0.48,0.8099999999999999,30.199337741083003
tracker,0.5,0.82,30.000000000000004
path,0.36,0.75,30.0
break,0.32,0.72,29.933259094191534
coco,0.5599999999999999,0.8400000000000001,29.933259094191524
coco,0.5599999999999999,0.8400000000000001,29.933259094191524
block,0.52,0.8300000000000001,29.732137494637005
kids,0.52,0.8300000000000001,29.732137494637005
action,0.42000000000000004,0.79,29.698484809834998
sims,0.73,0.8800000000000001,29.59729717389747
metalstorm,0.24,0.64,29.393876913398138
ballz,0.54,0.8400000000000001,29.39387691339813
geometry,0.45,0.8099999999999999,29.2403830344269
five,0.33999999999999997,0.75,29.1547594742265
five,0.33999999999999997,0.75,29.1547594742265
running,0.53,0.8400000000000001,29.12043955712207
ways,0.47000000000000003,0.82,29.08607914449798
hitman,0.47000000000000003,0.82,29.08607914449798
simple,0.47000000000000003,0.82,29.08607914449798
ways,0.47000000000000003,0.82,29.08607914449798
combat,0.35,0.76,28.982753492378876
doz,0.31,0.73,28.930952282978872
building,0.44000000000000006,0.8099999999999999,28.91366458960193
building,0.44000000000000006,0.8099999999999999,28.91366458960193
constellation,0.38,0.78,28.913664589601918
plane,0.49000000000000005,0.8300000000000001,28.86173937932362
plane,0.49000000000000005,0.8300000000000001,28.86173937932362
pitfall,0.36,0.77,28.77498913987631
snake,0.5900000000000001,0.86,28.740215726399832
indie,0.37,0.78,28.530685235374204
spaceship,0.3,0.73,28.460498941515418
baseball,0.62,0.8699999999999999,28.390139133156794
anno,0.26,0.6900000000000001,28.39013913315678
angry,0.35,0.77,28.37252191822221
world,0.5,0.8400000000000001,28.284271247461895
steve,0.42000000000000004,0.8099999999999999,28.248893783651074
alien,0.42000000000000004,0.8099999999999999,28.248893783651074
rescue,0.36,0.78,28.142494558940573
landing,0.24,0.67,28.142494558940573
stack,0.49000000000000005,0.8400000000000001,27.999999999999996
multi,0.27,0.71,27.98213715926645
planetarium,0.22999999999999998,0.6599999999999999,27.964262908219123
farming,0.45999999999999996,0.8300000000000001,27.96426290821912
pia,0.45999999999999996,0.8300000000000001,27.96426290821912
fleet,0.45999999999999996,0.8300000000000001,27.96426290821912
art,0.6,0.8699999999999999,27.928480087537892
gogo,0.35,0.78,27.748873851023216
gogo,0.35,0.78,27.748873851023216
epic,0.7,0.89,27.748873851023216
epic,0.7,0.89,27.748873851023216
racing,0.58,0.8699999999999999,27.45906043549197
hero,0.44000000000000006,0.8300000000000001,27.349588662354684
hole,0.44000000000000006,0.8300000000000001,27.349588662354684
night,0.39,0.8099999999999999,27.221315177632405
mist,0.26,0.72,26.981475126464087
model,0.4,0.82,26.832815729997478
model,0.4,0.82,26.832815729997478
jetpack,0.45,0.8400000000000001,26.83281572999747
luigi,0.3,0.76,26.83281572999747
pages,0.6,0.8800000000000001,26.832815729997467
joe,0.33999999999999997,0.79,26.720778431774768
undead,0.16,0.5599999999999999,26.532998322843206
car,0.64,0.89,26.5329983228432
hill,0.32,0.78,26.5329983228432
hill,0.32,0.78,26.5329983228432
calling,0.37,0.8099999999999999,26.514147167125707
calling,0.37,0.8099999999999999,26.514147167125707
digit,0.54,0.8699999999999999,26.49528259898355
skywalk,0.27,0.74,26.495282598983543
helix,0.39,0.82,26.495282598983543
mission,0.27999999999999997,0.75,26.457513110645902
eve,0.49000000000000005,0.86,26.191601707417593
3d,0.51,0.8699999999999999,25.748786379167477
isa,0.2,0.67,25.690465157330255
isa,0.2,0.67,25.690465157330255
rayman,0.47000000000000003,0.86,25.651510676761326
skydive,0.24,0.73,25.455844122715714
seventeen,0.24,0.73,25.455844122715714
seventeen,0.24,0.73,25.455844122715714
scribble,0.43,0.85,25.39685019840059
system,0.24,0.74,24.979991993593593
doom,0.5599999999999999,0.89,24.81934729198171
115,0.27999999999999997,0.78,24.819347291981707
rider,0.47000000000000003,0.8699999999999999,24.71841418861656
slope,0.43,0.86,24.535688292770597
backyard,0.24,0.75,24.49489742783178
backyard,0.24,0.75,24.49489742783178
rush,0.45999999999999996,0.8699999999999999,24.454038521274978
girl,0.45,0.8699999999999999,24.186773244895658
arcade,0.53,0.89,24.14539293529927
tycoon,0.58,0.9,24.083189157584588
ins,0.52,0.89,23.916521486202797
dad,0.35,0.8400000000000001,23.66431913239846
idk,0.31,0.82,23.62202362203544
rich,0.31,0.82,23.62202362203544
boy,0.32,0.8300000000000001,23.323807579381196
jpl,0.1,0.45999999999999996,23.237900077244504
dos,0.36,0.85,23.2379000772445
messages,0.5900000000000001,0.9099999999999999,23.043437243605837
quik,0.53,0.9,23.021728866442672
bird,0.48,0.89,22.978250586152114
reality,0.25,0.79,22.9128784747792
reality,0.25,0.79,22.9128784747792
gun,0.58,0.9099999999999999,22.847319317591737
pelota,0.29,0.82,22.847319317591726
test,0.4,0.8699999999999999,22.80350850198277
coloring,0.65,0.9199999999999999,22.80350850198277
aerox,0.26,0.8,22.80350850198276
jump,0.47000000000000003,0.89,22.737634001804143
call,0.5700000000000001,0.9099999999999999,22.649503305812264
bill,0.32,0.8400000000000001,22.627416997969515
rocketship,0.16999999999999998,0.7,22.583179581272432
education,0.5,0.9,22.360679774997898
gamestop,0.62,0.9199999999999999,22.271057451320097
guide,0.26,0.8099999999999999,22.226110770892873
cleo,0.49000000000000005,0.9,22.135943621178654
slides,0.61,0.9199999999999999,22.09072203437453
road,0.37,0.8699999999999999,21.931712199461316
kerbal,0.15,0.6799999999999999,21.908902300206652
den,0.24,0.8,21.90890230020664
starmap,0.3,0.8400000000000001,21.908902300206638
2017,0.13999999999999999,0.6599999999999999,21.817424229271428
2017,0.13999999999999999,0.6599999999999999,21.817424229271428
pocketgod,0.15,0.6900000000000001,21.563858652847824
pocketgod,0.15,0.6900000000000001,21.563858652847824
coop,0.32999999999999996,0.86,21.49418526020468
shooting,0.51,0.9099999999999999,21.42428528562856
starz,0.65,0.93,21.330729007701535
emulator,0.5,0.9099999999999999,21.21320343559644
duty,0.3,0.85,21.213203435596427
dwarf,0.16,0.72,21.16601048851673
music,0.74,0.9400000000000001,21.071307505705466
city,0.49000000000000005,0.9099999999999999,21.000000000000014
bob,0.4,0.89,20.97617696340303
nightsky,0.2,0.78,20.976176963403027
branding,0.15,0.71,20.856653614614213
killing,0.31,0.86,20.83266665599966
blackops,0.27,0.8400000000000001,20.784609690826525
spiral,0.39,0.89,20.71231517720798
subway,0.7,0.9400000000000001,20.493901531919185
sports,0.52,0.9199999999999999,20.39607805437115
stimulation,0.18,0.77,20.3469899493758
agency,0.1,0.5900000000000001,20.248456731316587
man,0.37,0.89,20.174241001832012
man,0.37,0.89,20.174241001832012
cessna,0.15,0.73,20.12461179749811
frag,0.5,0.9199999999999999,20.00000000000001
gold,0.4,0.9,20.0
estrella,0.16,0.75,20.0
gold,0.4,0.9,20.0
io,0.5700000000000001,0.93,19.974984355438174
money,0.5700000000000001,0.93,19.974984355438174
money,0.5700000000000001,0.93,19.974984355438174
researcher,0.22000000000000003,0.82,19.899748742132402
mutation,0.09,0.5599999999999999,19.8997487421324
venus,0.36,0.89,19.8997487421324
mutation,0.09,0.5599999999999999,19.8997487421324
casual,0.27999999999999997,0.86,19.79898987322333
switch,0.5599999999999999,0.93,19.79898987322332
advertising,0.16999999999999998,0.77,19.773719933285186
pix,0.38,0.9,19.493588689617923
vortex,0.38,0.9,19.493588689617923
bounce,0.42000000000000004,0.9099999999999999,19.442222095223592
partymasters,0.42000000000000004,0.9099999999999999,19.442222095223592
second,0.21000000000000002,0.82,19.442222095223585
2nd,0.18,0.79,19.442222095223578
role,0.22000000000000003,0.8300000000000001,19.339079605813716
lunar,0.33999999999999997,0.89,19.339079605813716
update,0.53,0.93,19.261360284258217
uno,0.73,0.95,19.10497317454281
ea,0.45,0.9199999999999999,18.973665961010283
blaster,0.24,0.85,18.973665961010276
jumping,0.51,0.93,18.894443627691178
ailment,0.16999999999999998,0.79,18.894443627691178
diversion,0.22000000000000003,0.8400000000000001,18.761663039293712
diversion,0.22000000000000003,0.8400000000000001,18.761663039293712
shuttle,0.27,0.8699999999999999,18.734993995195204
99,0.35,0.9,18.708286933869704
tower,0.43,0.9199999999999999,18.547236990991415
freecall,0.19,0.82,18.49324200890693
freecall,0.19,0.82,18.49324200890693
beware,0.19,0.82,18.49324200890693
juegos,0.5700000000000001,0.9400000000000001,18.493242008906922
kap,0.06999999999999999,0.52,18.330302779823356
ganes,0.48,0.93,18.330302779823356
iss,0.55,0.9400000000000001,18.165902124584942
shooter,0.47000000000000003,0.93,18.13835714721705
facade,0.27,0.8800000000000001,17.999999999999993
modelling,0.06999999999999999,0.54,17.94435844492636
modelling,0.06999999999999999,0.54,17.94435844492636
modern,0.32,0.9,17.888543819998315
hex,0.32,0.9,17.888543819998315
chase,0.63,0.95,17.748239349298856
flight,0.45,0.93,17.748239349298842
discover,0.62,0.95,17.60681686165902
ie,0.27999999999999997,0.89,17.54992877478424
1111,0.44000000000000006,0.93,17.54992877478424
creating,0.16999999999999998,0.82,17.4928556845359
creating,0.16999999999999998,0.82,17.4928556845359
fun,0.51,0.9400000000000001,17.492855684535893
color,0.6,0.95,17.32050807568878
midway,0.25,0.8800000000000001,17.320508075688764
dune,0.5,0.9400000000000001,17.320508075688764
pokey,0.29,0.9,17.029386365926396
amaze,0.29,0.9,17.029386365926396
joey,0.16999999999999998,0.8300000000000001,16.999999999999996
ifun,0.41,0.93,16.941074346097412
ifun,0.41,0.93,16.941074346097412
gamecube,0.21000000000000002,0.8699999999999999,16.522711641858315
decoration,0.21000000000000002,0.8699999999999999,16.522711641858315
splashy,0.33999999999999997,0.9199999999999999,16.492422502470646
fireball,0.33999999999999997,0.9199999999999999,16.492422502470646
cellphone,0.13999999999999999,0.8099999999999999,16.30950643030009
cellphone,0.13999999999999999,0.8099999999999999,16.30950643030009
apex,0.52,0.95,16.12451549659711
hit,0.37,0.93,16.093476939431074
equipment,0.08,0.6799999999999999,16.000000000000004
equipment,0.08,0.6799999999999999,16.000000000000004
gametime,0.36,0.93,15.874507866387539
play,0.5,0.95,15.811388300841905
battle,0.48,0.95,15.491933384829675
original,0.2,0.8800000000000001,15.49193338482966
ang,0.18,0.8699999999999999,15.29705854077836
ang,0.18,0.8699999999999999,15.29705854077836
aventura,0.21000000000000002,0.89,15.198684153570666
aventura,0.21000000000000002,0.89,15.198684153570666
entertainment,0.45,0.95,15.000000000000007
amerigo,0.44000000000000006,0.95,14.832396974191333
educate,0.11000000000000001,0.8,14.832396974191326
ballgame,0.27,0.9199999999999999,14.696938456699076
cosmonaut,0.05,0.5900000000000001,14.317821063276352
leprechaun,0.29,0.93,14.247806848775003
exploring,0.09,0.78,14.071247279470287
gameboy,0.39,0.95,13.964240043768946
evolving,0.05,0.61,13.96424004376894
evolving,0.05,0.61,13.96424004376894
787,0.06,0.6799999999999999,13.856406460551021
bazi,0.38,0.95,13.784048752090229
three,0.31,0.9400000000000001,13.638181696985848
aerospace,0.08,0.77,13.564659966250536
mysterious,0.06999999999999999,0.74,13.490737563232042
launching,0.05,0.6599999999999999,13.038404810405298
mame,0.21000000000000002,0.9199999999999999,12.961481396815728
spacetime,0.05,0.67,12.845232578665128
similar,0.1,0.85,12.247448713915892
samsam,0.05,0.71,12.041594578792298
augmented,0.08,0.82,12.000000000000002
augmented,0.08,0.82,12.000000000000002
battalion,0.09,0.8400000000000001,11.999999999999996
mobike,0.27,0.95,11.618950038622257
gera,0.1,0.8699999999999999,11.401754250991385
gera,0.1,0.8699999999999999,11.401754250991385
242,0.22000000000000003,0.95,10.48808848170152
race,0.15,0.93,10.246950765959594
radical,0.2,0.95,10.000000000000005
mul,0.08,0.9199999999999999,8.000000000000004
guerrilla,0.1,0.9400000000000001,7.74596669241483
guerrilla,0.1,0.9400000000000001,7.74596669241483
fer,0.1,0.95,7.071067811865479
evolutionary,0.05,0.9,7.071067811865474
evolutionary,0.05,0.9,7.071067811865474
judas,0.06999999999999999,0.95,5.916079783099618
keynes,0.06999999999999999,0.95,5.916079783099618
thestar,0.05,0.93,5.916079783099614
thestar,0.05,0.93,5.916079783099614
aug,0.05,0.95,5.000000000000003
iwm,0.05,0.95,5.000000000000003
aug,0.05,0.95,5.000000000000003
iwm,0.05,0.95,5.000000000000003
